,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
5298,-1.7418671,8.734177,3.581787,2017-06-03 16:14:34.226000,1496517274226,7.324219E-4,-0.013458252,-0.0024871826,-140.592468454,-13.971901,15.562248,-2.455902,10.6112593647,67.7098865145
5299,-1.7611542,8.805145,3.581482,2017-06-03 16:14:34.278000,1496517274278,0.0028686523,-0.005996704,-0.0024871826,-140.827725394,-13.802147,15.562439,-2.455902,10.7207918327,67.5683043613
5300,-1.7228546,8.791626,3.6006317,2017-06-03 16:14:34.330000,1496517274330,0.00819397,-0.004928589,-0.0014190674,-140.83149775,-13.71727,15.649605,-2.3691177,10.7203810507,67.5661970799
5301,-1.7502441,8.761551,3.5732574,2017-06-03 16:14:34.382000,1496517274382,-0.0013885498,3.9672852E-4,-0.0024871826,-140.768672166,-12.952805,16.086197,-2.5426865,10.6208482122,67.6750493281
5302,-1.7611542,8.786087,3.57341,2017-06-03 16:14:34.434000,1496517274434,0.0039367676,0.005722046,0.0007019043,-140.736017222,-12.78286,16.173363,-2.8028488,10.5940670401,67.7120784206
5303,-1.7640076,8.742691,3.592102,2017-06-03 16:14:34.485000,1496517274485,-0.008850098,-0.008132935,0.0017700195,-140.685126322,-12.697983,15.911484,-2.8028488,10.5563761923,67.7467471374
5304,-1.7428894,8.733734,3.5810547,2017-06-03 16:14:34.537000,1496517274537,0.004989624,-0.0070648193,-0.00036621094,-140.751219536,-13.462639,15.300179,-2.7160645,10.58195778,67.691203864
5305,-1.7773132,8.791626,3.584488,2017-06-03 16:14:34.588000,1496517274588,0.0028686523,-0.005996704,-0.0014190674,-140.846319551,-13.632584,15.300179,-2.6294708,10.6438568131,67.6356486893
5306,-1.7936859,8.766678,3.5623322,2017-06-03 16:14:34.640000,1496517274640,-0.0077819824,-0.0038604736,0.0007019043,-140.898798061,-13.632393,15.5620575,-2.7162552,10.6934714409,67.6278910387
5307,-1.7420044,8.769348,3.610443,2017-06-03 16:14:34.691000,1496517274691,-0.002456665,-0.008132935,0.0007019043,-140.911114805,-13.292503,15.5620575,-2.8030396,10.6557946916,67.6177013365
5308,-1.7611542,8.753326,3.5623322,2017-06-03 16:14:34.743000,1496517274743,-0.0013885498,0.0046539307,0.009231567,-140.951746372,-13.292503,15.474892,-2.5428772,10.669220154,67.6176944229
5309,-1.8015594,8.751221,3.5900116,2017-06-03 16:14:34.795000,1496517274795,7.324219E-4,0.002532959,0.0060272217,-141.027052226,-13.037682,15.300369,-2.1961212,10.737712406,67.5679364248
5310,-1.7780609,8.748825,3.6175385,2017-06-03 16:14:34.846000,1496517274846,-0.0131073,-0.009185791,-0.004623413,-141.038189384,-13.122559,15.649605,-2.543068,10.7277992249,67.5543273638
5311,-1.7370758,8.748978,3.614853,2017-06-03 16:14:34.898000,1496517274898,-3.3569336E-4,-0.005996704,-0.008880615,-140.990974347,-12.952614,15.649605,-2.8900146,10.6459371365,67.5908247707
5312,-1.7228546,8.768021,3.6197815,2017-06-03 16:14:34.950000,1496517274950,0.0018005371,-0.009185791,-0.011016846,-140.907747906,-12.952614,15.649605,-3.2367706,10.5363813442,67.6509566205
5313,-1.7228546,8.734772,3.620987,2017-06-03 16:14:35.001000,1496517275001,0.004989624,3.9672852E-4,-0.0067596436,-140.876259157,-13.122559,15.475082,-3.150177,10.4795434154,67.6511818965
5314,-1.70578,8.810791,3.615631,2017-06-03 16:14:35.054000,1496517275054,-0.0077819824,0.0046539307,0.0017700195,-140.937699296,-13.37738,14.951515,-2.8032303,10.4716861365,67.60863116
5315,-1.7736359,8.772476,3.6260223,2017-06-03 16:14:35.105000,1496517275105,-0.008850098,0.0035858154,-0.00036621094,-140.957662117,-13.207626,14.6894455,-3.2367706,10.5000077619,67.5845076969
5316,-1.7611542,8.734177,3.635147,2017-06-03 16:14:35.157000,1496517275157,-0.008850098,-0.005996704,0.0017700195,-140.986715355,-13.037682,14.776611,-2.9764175,10.5211150568,67.5362789683
5317,-1.7576447,8.754486,3.5658417,2017-06-03 16:14:35.208000,1496517275208,-0.0131073,3.9672852E-4,-0.011016846,-140.983828272,-13.122559,14.951134,-3.0630112,10.5260771862,67.5746009652
5318,-1.7767181,8.765289,3.6161957,2017-06-03 16:14:35.260000,1496517275260,-0.0035247803,-0.004928589,0.0017700195,-141.01905273,-13.037682,15.125847,-2.6294708,10.5610007993,67.5479995898
5319,-1.780304,8.734177,3.6455383,2017-06-03 16:14:35.312000,1496517275312,-0.002456665,-0.0070648193,0.0060272217,-141.0719857,-13.037682,14.951324,-2.6294708,10.6037260823,67.4785470685
5320,-1.7108765,8.737762,3.6161957,2017-06-03 16:14:35.364000,1496517275364,-0.0056610107,0.0035858154,-0.0035552979,-141.042726545,-12.697983,14.951515,-2.889824,10.5314209305,67.5058074811
5321,-1.7420197,8.746933,3.6006317,2017-06-03 16:14:35.415000,1496517275415,-0.0077819824,0.0035858154,0.0028381348,-141.034855095,-12.78286,14.951515,-2.8030396,10.5137743831,67.52735681
